canonical_id,nih_reporter_name,nih_reporter_ipf_code,org_city,org_state,org_country,canonical_name,ror_link,ror_id,grid_id,email_domains,openalex_link,openalex_id
us-al-university-of-alabama-birmingham,UNIVERSITY OF ALABAMA AT BIRMINGHAM,1288803,BIRMINGHAM,AL,US,University of Alabama Birmingham,https://ror.org/008s83205,008s83205,grid.265892.2,uab.edu|uabmc.edu,https://openalex.org/i32389192,I32389192
us-ar-arkansas-children-s-hospital-research-institute,ARKANSAS CHILDREN'S HOSPITAL RES INST,491702,LITTLE ROCK,AR,US,Arkansas Children's Hospital Research Institute,https://ror.org/01t33qq42,01t33qq42,grid.239305.e,uams.edu,https://openalex.org/i1301864278,I1301864278
us-ar-university-of-arkansas-for-medical-sciences,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,1471106,LITTLE ROCK,AR,US,University of Arkansas for Medical Sciences,https://ror.org/005k4dn45,005k4dn45,grid.416947.9,uams.edu,https://openalex.org/i79620101,I79620101
us-az-arizona-state-university-tempe,ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,488301,SCOTTSDALE,AZ,US,Arizona State University-Tempe,https://ror.org/03efmqc40,03efmqc40,grid.215654.1,asu.edu,https://openalex.org/i55732556,I55732556
us-az-mayo-clinic-arizona,MAYO CLINIC ARIZONA,4976104,SCOTTSDALE,AZ,US,Mayo Clinic Arizona,https://ror.org/03jp40720,03jp40720,grid.417468.8,mayo.edu,https://openalex.org/i4210125099,I4210125099
us-az-university-of-arizona,UNIVERSITY OF ARIZONA,490201,TUCSON,AZ,US,University of Arizona,https://ror.org/03m2x1q45,03m2x1q45,grid.134563.6,arizona.edu,https://openalex.org/i138006243,I138006243
us-ca-university-of-california-berkeley,UNIVERSITY OF CALIFORNIA BERKELEY,577502,BERKELEY,CA,US,"University of California, Berkeley",https://ror.org/01an7q238,01an7q238,grid.47840.3f,berkeley.edu,https://openalex.org/i95457486,I95457486
us-ca-university-of-california-davis,UNIVERSITY OF CALIFORNIA AT DAVIS,577503,DAVIS,CA,US,"University of California, Davis",https://ror.org/05rrcem69,05rrcem69,grid.27860.3b,ucdavis.edu,https://openalex.org/i84218800,I84218800
us-ca-beckman-research-institute,BECKMAN RESEARCH INSTITUTE/CITY OF HOPE,3058203,DUARTE,CA,US,Beckman Research Institute,https://ror.org/05fazth07,05fazth07,,coh.org,https://openalex.org/i4387156432,I4387156432
us-ca-university-of-california-irvine,UNIVERSITY OF CALIFORNIA-IRVINE,577504,IRVINE,CA,US,"University of California, Irvine",https://ror.org/04gyf1771,04gyf1771,grid.266093.8,uci.edu,https://openalex.org/i204250578,I204250578
us-ca-la-jolla-institute-for-immunology,LA JOLLA INSTITUTE FOR IMMUNOLOGY,2465301,LA JOLLA,CA,US,La Jolla Institute for Immunology,https://ror.org/05vkpd318,05vkpd318,grid.185006.a,lji.org,https://openalex.org/i1311191458,I1311191458
us-ca-salk-institute-for-biological-studies,SALK INSTITUTE FOR BIOLOGICAL STUDIES,7210001,La Jolla,CA,US,Salk Institute for Biological Studies,https://ror.org/03xez1567,03xez1567,grid.250671.7,salk.edu,https://openalex.org/i1307098950,I1307098950
us-ca-sanford-burnham-medical-research-institute,SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE,1180101,LA JOLLA,CA,US,Sanford Burnham Medical Research Institute,https://ror.org/03m1g2s55,03m1g2s55,grid.479509.6,burnham.org|sanfordburnham.org|sbpdiscovery.edu,https://openalex.org/i188891513,I188891513
us-ca-scripps-research-institute,"SCRIPPS RESEARCH INSTITUTE, THE",7375802,LA JOLLA,CA,US,Scripps Research Institute,https://ror.org/02dxx6824,02dxx6824,grid.214007.0,scripps.edu,https://openalex.org/i123431417,I123431417
us-ca-university-of-california-san-diego,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",577507,LA JOLLA,CA,US,University of California San Diego,https://ror.org/0168r3w48,0168r3w48,grid.266100.3,ucsd.edu,https://openalex.org/i36258959,I36258959
us-ca-cedars-sinai-medical-center,CEDARS-SINAI MEDICAL CENTER,1225501,LOS ANGELES,CA,US,Cedars-Sinai Medical Center,https://ror.org/02pammg90,02pammg90,grid.50956.3f,cshs.org|csmc.edu,https://openalex.org/i1282927834,I1282927834
us-ca-university-of-california-los-angeles,UNIVERSITY OF CALIFORNIA LOS ANGELES,577505,LOS ANGELES,CA,US,University of California Los Angeles,https://ror.org/046rm7j60,046rm7j60,grid.19006.3e,ucla.edu,https://openalex.org/i161318765,I161318765
us-ca-university-of-southern-california,UNIVERSITY OF SOUTHERN CALIFORNIA,7636101,Los Angeles,CA,US,University of Southern California,https://ror.org/03taz7m60,03taz7m60,grid.42505.36,usc.edu,https://openalex.org/i1174212,I1174212
us-ca-stanford-research-institute,SRI INTERNATIONAL,8042701,MENLO PARK,CA,US,Stanford Research Institute,https://ror.org/05s570m15,05s570m15,grid.98913.3a,,https://openalex.org/i1298353152,I1298353152
us-ca-university-of-california-merced,"UNIVERSITY OF CALIFORNIA, MERCED",10002981,MERCED,CA,US,University of California Merced,https://ror.org/00d9ah105,00d9ah105,grid.266096.d,ucmerced.edu,https://openalex.org/i156087764,I156087764
us-ca-kaiser-foundation-research-institute,KAISER FOUNDATION RESEARCH INSTITUTE,3497005,Oakland,CA,US,Kaiser Foundation Research Institute,https://ror.org/00t60zh31,00t60zh31,grid.280062.e,kp.org,https://openalex.org/i4210148877,I4210148877
us-ca-california-institute-of-technology,CALIFORNIA INSTITUTE OF TECHNOLOGY,1073501,PASADENA,CA,US,California Institute of Technology,https://ror.org/05dxps055,05dxps055,grid.20861.3d,caltech.edu,https://openalex.org/i122411786,I122411786
us-ca-university-of-california-riverside,UNIVERSITY OF CALIFORNIA RIVERSIDE,577506,RIVERSIDE,CA,US,"University of California, Riverside",https://ror.org/03nawhv43,03nawhv43,grid.266097.c,ucr.edu,https://openalex.org/i103635307,I103635307
us-ca-gladstone-institutes,J. DAVID GLADSTONE INSTITUTES,1567601,SAN FRANCISCO,CA,US,Gladstone Institutes,https://ror.org/038321296,038321296,grid.249878.8,gladstone.ucsf.edu,https://openalex.org/i1321430492,I1321430492
us-ca-university-of-california-san-francisco,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",577508,SAN FRANCISCO,CA,US,"University of California, San Francisco",https://ror.org/043mz5j54,043mz5j54,grid.266102.1,ucsf.edu,https://openalex.org/i180670191,I180670191
us-ca-university-of-california-santa-cruz,UNIVERSITY OF CALIFORNIA SANTA CRUZ,577510,SANTA CRUZ,CA,US,"University of California, Santa Cruz",https://ror.org/03s65by71,03s65by71,grid.205975.c,ucsc.edu,https://openalex.org/i185103710,I185103710
us-ca-stanford-university,STANFORD UNIVERSITY,8046501,STANFORD,CA,US,Stanford University,https://ror.org/00f54p054,00f54p054,grid.168010.e,stanford.edu,https://openalex.org/i97018004,I97018004
us-ca-harbor-ucla-medical-center,LUNDQUIST INSTITUTE FOR BIOMEDICAL INNOVATION AT HARBOR-UCLA MEDICAL CENTER,2543101,TORRANCE,CA,US,Harbor-UCLA Medical Center,https://ror.org/05h4zj272,05h4zj272,grid.239844.0,lundquist.org,https://openalex.org/i4210165985,I4210165985
us-co-university-of-colorado-denver,UNIVERSITY OF COLORADO DENVER,1199905,Aurora,CO,US,University of Colorado Denver,https://ror.org/02hh7en24,02hh7en24,grid.241116.1,cuanschutz.edu|ucdenver.edu,https://openalex.org/i921990950,I921990950
us-co-university-of-colorado-boulder,UNIVERSITY OF COLORADO,1199902,Boulder,CO,US,University of Colorado Boulder,https://ror.org/02ttsq026,02ttsq026,grid.266190.a,colorado.edu,https://openalex.org/i188538660,I188538660
us-co-national-jewish-health,NATIONAL JEWISH HEALTH,5720901,DENVER,CO,US,National Jewish Health,https://ror.org/016z2bp30,016z2bp30,grid.240341.0,njhealth.org,https://openalex.org/i3019586173,I3019586173
us-co-colorado-state-university,COLORADO STATE UNIVERSITY,1725201,FORT COLLINS,CO,US,Colorado State University,https://ror.org/03k1gpj17,03k1gpj17,grid.47894.36,colostat.edu,https://openalex.org/i92446798,I92446798
us-ct-university-of-connecticut-school-of-medicine,UNIVERSITY OF CONNECTICUT SCHOOL OF MED/DNT,1506603,FARMINGTON,CT,US,University of Connecticut School of Medicine,https://ror.org/02kzs4y22,02kzs4y22,grid.208078.5,uchc.edu,https://openalex.org/i75929689,I75929689
us-ct-yale-university,YALE UNIVERSITY,9420201,NEW HAVEN,CT,US,Yale University,https://ror.org/03v76x132,03v76x132,grid.47100.32,yale.edu,https://openalex.org/i32971472,I32971472
us-dc-george-washington-university,GEORGE WASHINGTON UNIVERSITY,2863301,WASHINGTON,DC,US,George Washington University,https://ror.org/00y4zzh67,00y4zzh67,grid.253615.6,gwu.edu,https://openalex.org/i193531525,I193531525
us-dc-georgetown-university,GEORGETOWN UNIVERSITY,2869001,WASHINGTON,DC,US,Georgetown University,https://ror.org/05vzafd60,05vzafd60,grid.213910.8,georgetown.edu,https://openalex.org/i184565670,I184565670
us-fl-university-of-miami-school-of-medicine,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,5221250,CORAL GABLES,FL,US,University of Miami School of Medicine,https://ror.org/02dgjyy92,02dgjyy92,grid.26790.3a,med.miami.edu,https://openalex.org/i145608581,I145608581
us-fl-university-of-florida,UNIVERSITY OF FLORIDA,513806,GAINESVILLE,FL,US,University of Florida,https://ror.org/02y3ad647,02y3ad647,grid.15276.37,ufl.edu,https://openalex.org/i33213144,I33213144
us-fl-scripps-florida,SCRIPPS FLORIDA,10005569,JUPITER,FL,US,Scripps Florida,https://ror.org/056pdzs28,056pdzs28,,,https://openalex.org/i4387156289,I4387156289
us-fl-florida-international-university,FLORIDA INTERNATIONAL UNIVERSITY,513809,MIAMI,FL,US,Florida International University,https://ror.org/02gz6gg07,02gz6gg07,grid.65456.34,fiu.edu,https://openalex.org/i19700959,I19700959
us-fl-university-of-central-florida,UNIVERSITY OF CENTRAL FLORIDA,513805,ORLANDO,FL,US,University of Central Florida,https://ror.org/036nfer12,036nfer12,grid.170430.1,,https://openalex.org/i106165777,I106165777
us-fl-florida-state-university,FLORIDA STATE UNIVERSITY,513804,TALLAHASSEE,FL,US,Florida State University,https://ror.org/05g3dte14,05g3dte14,grid.255986.5,fsu.edu,https://openalex.org/i103163165,I103163165
us-fl-university-of-south-florida,UNIVERSITY OF SOUTH FLORIDA,513807,TAMPA,FL,US,University of South Florida,https://ror.org/032db5x82,032db5x82,grid.170693.a,usf.edu,https://openalex.org/i2613432,I2613432
us-ga-university-of-georgia,UNIVERSITY OF GEORGIA,676602,ATHENS,GA,US,University of Georgia,https://ror.org/00te3t702,00te3t702,grid.213876.9,uga.edu,https://openalex.org/i165733156,I165733156
us-ga-emory-university,EMORY UNIVERSITY,2384501,ATLANTA,GA,US,Emory University,https://ror.org/03czfpz43,03czfpz43,grid.189967.8,emory.edu,https://openalex.org/i150468666,I150468666
us-ga-georgia-institute-of-technology,GEORGIA INSTITUTE OF TECHNOLOGY,676603,ATLANTA,GA,US,Georgia Institute of Technology,https://ror.org/01zkghx44,01zkghx44,grid.213917.f,gatech.edu,https://openalex.org/i130701444,I130701444
us-ga-georgia-state-university,GEORGIA STATE UNIVERSITY,676604,ATLANTA,GA,US,Georgia State University,https://ror.org/03qt6ba18,03qt6ba18,grid.256304.6,gsu.edu,https://openalex.org/i181565077,I181565077
us-ia-iowa-state-university,IOWA STATE UNIVERSITY,3974801,AMES,IA,US,Iowa State University,https://ror.org/04rswrd78,04rswrd78,grid.34421.30,iastate.edu,https://openalex.org/i173911158,I173911158
us-ia-university-of-iowa,UNIVERSITY OF IOWA,3972901,IOWA CITY,IA,US,University of Iowa,https://ror.org/036jqmy94,036jqmy94,grid.214572.7,uiowa.edu,https://openalex.org/i126307644,I126307644
us-il-university-of-illinois-urbana-champaign,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,577704,CHAMPAIGN,IL,US,University of Illinois Urbana-Champaign,https://ror.org/047426m28,047426m28,grid.35403.31,illinois.edu|uiuc.edu,https://openalex.org/i157725225,I157725225
us-il-lurie-children-s-hospital,LURIE CHILDREN'S HOSPITAL OF CHICAGO,1525701,CHICAGO,IL,US,Lurie Children's Hospital,https://ror.org/03a6zw892,03a6zw892,grid.413808.6,luriechildrens.org,https://openalex.org/i1294278766,I1294278766
us-il-northwestern-university,NORTHWESTERN UNIVERSITY AT CHICAGO,6144650,CHICAGO,IL,US,Northwestern University,https://ror.org/00m6w7z96,00m6w7z96,grid.443107.5,northwestern.edu,https://openalex.org/i111979921,I111979921
us-il-rush-university-medical-center,RUSH UNIVERSITY MEDICAL CENTER,6644301,CHICAGO,IL,US,Rush University Medical Center,https://ror.org/01j7c0b24,01j7c0b24,grid.240684.c,rush.edu,https://openalex.org/i1285301757,I1285301757
us-il-university-of-chicago,UNIVERSITY OF CHICAGO,1413601,CHICAGO,IL,US,University of Chicago,https://ror.org/024mw5h28,024mw5h28,grid.170205.1,uchicago.edu,https://openalex.org/i40347166,I40347166
us-il-university-of-illinois-chicago,UNIVERSITY OF ILLINOIS AT CHICAGO,577703,Chicago,IL,US,University of Illinois Chicago,https://ror.org/02mpq6x41,02mpq6x41,grid.185648.6,uic.edu,https://openalex.org/i39422238,I39422238
us-il-loyola-university-chicago,LOYOLA UNIVERSITY CHICAGO,4689203,MAYWOOD,IL,US,Loyola University Chicago,https://ror.org/04b6x2g63,04b6x2g63,grid.164971.c,luc.edu,https://openalex.org/i1925986,I1925986
us-in-indiana-university-bloomington,TRUSTEES OF INDIANA UNIVERSITY,577805,BLOOMINGTON,IN,US,Indiana University Bloomington,https://ror.org/01kg8sb98,01kg8sb98,grid.257410.5,iu.edu,https://openalex.org/i4210119109,I4210119109
us-in-indiana-university-indianapolis,INDIANA UNIVERSITY INDIANAPOLIS,577806,INDIANAPOLIS,IN,US,Indiana University Indianapolis,https://ror.org/03eftgw80,03eftgw80,,indiana.edu|iu.edu,https://openalex.org/i4388446366,I4388446366
us-in-university-of-notre-dame,UNIVERSITY OF NOTRE DAME,6169301,NOTRE DAME,IN,US,University of Notre Dame,https://ror.org/04mwhg379,04mwhg379,grid.443030.0,nd.edu,https://openalex.org/i107639228,I107639228
us-in-purdue-university,PURDUE UNIVERSITY,1481402,WEST LAFAYETTE,IN,US,Purdue University,https://ror.org/05p8z3f47,05p8z3f47,grid.411031.6,purdue.edu,https://openalex.org/i219193219,I219193219
us-ks-university-of-kansas-medical-center,UNIVERSITY OF KANSAS MEDICAL CENTER,1484303,KANSAS CITY,KS,US,University of Kansas Medical Center,https://ror.org/036c9yv20,036c9yv20,grid.412016.0,kumc.edu,https://openalex.org/i4210128618,I4210128618
us-ks-university-of-kansas-lawrence,UNIVERSITY OF KANSAS LAWRENCE,1484302,LAWRENCE,KS,US,University of Kansas Lawrence,https://ror.org/001tmjg57,001tmjg57,grid.266515.3,ku.edu,https://openalex.org/i146416000,I146416000
us-ks-kansas-state-university,KANSAS STATE UNIVERSITY,4202801,MANHATTAN,KS,US,Kansas State University,https://ror.org/05p1j8758,05p1j8758,grid.36567.31,k-state.edu|ksu.edu,https://openalex.org/i189590672,I189590672
us-ky-university-of-kentucky,UNIVERSITY OF KENTUCKY,2793601,LEXINGTON,KY,US,University of Kentucky,https://ror.org/02k3smh20,02k3smh20,grid.266539.d,uky.edu,https://openalex.org/i143302722,I143302722
us-ky-university-of-louisville,UNIVERSITY OF LOUISVILLE,4679701,LOUISVILLE,KY,US,University of Louisville,https://ror.org/01ckdn478,01ckdn478,grid.266623.5,,https://openalex.org/i142740786,I142740786
us-la-louisiana-state-university-baton-rouge,LOUISIANA STATE UNIVERSITY A&M COL BATON ROUGE,577907,BATON ROUGE,LA,US,Louisiana State University Baton Rouge,https://ror.org/05ect4e57,05ect4e57,grid.64337.35,lsu.edu,https://openalex.org/i121820613,I121820613
us-la-tulane-university,TULANE UNIVERSITY OF LOUISIANA,8424601,NEW ORLEANS,LA,US,Tulane University,https://ror.org/04vmvtb21,04vmvtb21,grid.265219.b,tulane.edu,https://openalex.org/i114832834,I114832834
us-ma-beth-israel-deaconess-medical-center,BETH ISRAEL DEACONESS MEDICAL CENTER,758101,BOSTON,MA,US,Beth Israel Deaconess Medical Center,https://ror.org/04drvxt59,04drvxt59,grid.239395.7,bidmc.harvard.edu,https://openalex.org/i1316535847,I1316535847
us-ma-boston-children-s-hospital,BOSTON CHILDREN'S HOSPITAL,1504801,BOSTON,MA,US,Boston Children's Hospital,https://ror.org/00dvg7y05,00dvg7y05,grid.2515.3,chboston.org|childriens.harvard.edu,https://openalex.org/i1288882113,I1288882113
us-ma-boston-medical-center,BOSTON MEDICAL CENTER,3617301,BOSTON,MA,US,Boston Medical Center,https://ror.org/010b9wj87,010b9wj87,grid.239424.a,bmc.org|bu.edu,https://openalex.org/i1286490081,I1286490081
us-ma-boston-university,BOSTON UNIVERSITY MEDICAL CAMPUS,894901,BOSTON,MA,US,Boston University,https://ror.org/05qwgg493,05qwgg493,grid.189504.1,bmc.org|bu.edu,https://openalex.org/i111088046,I111088046
us-ma-brigham-and-women-s-hospital,BRIGHAM AND WOMEN'S HOSPITAL,1080401,BOSTON,MA,US,Brigham and Women's Hospital,https://ror.org/04b6nzv94,04b6nzv94,grid.62560.37,bwh.harvard.edu,https://openalex.org/i1283280774,I1283280774
us-ma-dana-farber-cancer-institute,DANA-FARBER CANCER INST,1464901,BOSTON,MA,US,Dana-Farber Cancer Institute,https://ror.org/02jzgtq86,02jzgtq86,grid.65499.37,dfci.harvard.edu,https://openalex.org/i4210117453,I4210117453
us-ma-harvard-university,HARVARD MEDICAL SCHOOL,3212902,BOSTON,MA,US,Harvard University,https://ror.org/03vek6s52,03vek6s52,grid.38142.3c,hms.harvard.edu,https://openalex.org/i136199984,I136199984
us-ma-massachusetts-general-hospital,MASSACHUSETTS GENERAL HOSPITAL,4907701,BOSTON,MA,US,Massachusetts General Hospital,https://ror.org/002pd6e78,002pd6e78,grid.32224.35,mgh.harvard.edu,https://openalex.org/i4210087915,I4210087915
us-ma-northeastern-university,NORTHEASTERN UNIVERSITY,6116101,BOSTON,MA,US,Northeastern University,https://ror.org/04t5xt781,04t5xt781,grid.261112.7,neu.edu|northeastern.edu,https://openalex.org/i12912129,I12912129
us-ma-tufts-university,TUFTS UNIVERSITY BOSTON,8422704,BOSTON,MA,US,Tufts University,https://ror.org/05wvpxv85,05wvpxv85,grid.429997.8,tufts.edu,https://openalex.org/i121934306,I121934306
us-ma-broad-institute,"BROAD INSTITUTE, INC.",10021177,CAMBRIDGE,MA,US,Broad Institute,https://ror.org/05a0ya142,05a0ya142,grid.66859.34,broadinstitute.org,https://openalex.org/i107606265,I107606265
us-ma-massachusetts-institute-of-technology,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,4911501,CAMBRIDGE,MA,US,Massachusetts Institute of Technology,https://ror.org/042nb2s44,042nb2s44,grid.116068.8,mit.edu,https://openalex.org/i63966007,I63966007
us-ma-boston-college,BOSTON COLLEGE,872101,CHESTNUT HILL,MA,US,Boston College,https://ror.org/02n2fzt79,02n2fzt79,grid.208226.c,bc.edu,https://openalex.org/i103531236,I103531236
us-ma-university-of-massachusetts-amherst,UNIVERSITY OF MASSACHUSETTS AMHERST,850904,HADLEY,MA,US,University of Massachusetts Amherst,https://ror.org/0072zz521,0072zz521,grid.266683.f,umass.edu,https://openalex.org/i24603500,I24603500
us-ma-university-of-massachusetts-chan-medical-school,UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL WORCESTER,850903,WORCESTER,MA,US,University of Massachusetts Chan Medical School,https://ror.org/0464eyp60,0464eyp60,grid.168645.8,umassmed.edu,https://openalex.org/i166722992,I166722992
us-md-johns-hopkins-university,JOHNS HOPKINS UNIVERSITY,4134401,BALTIMORE,MD,US,Johns Hopkins University,https://ror.org/00za53h95,00za53h95,grid.21107.35,jhmi.edu|jhu.edu,https://openalex.org/i145311948,I145311948
us-md-university-of-maryland-baltimore,UNIVERSITY OF MARYLAND BALTIMORE,820104,BALTIMORE,MD,US,"University of Maryland, Baltimore",https://ror.org/04rq5mt64,04rq5mt64,grid.411024.2,som.umaryland.edu,https://openalex.org/i126744593,I126744593
us-md-henry-m-jackson-foundation,HENRY M. JACKSON FDN FOR THE ADV MIL/MED,1809301,BETHESDA,MD,US,Henry M. Jackson Foundation,https://ror.org/04q9tew83,04q9tew83,grid.201075.1,,https://openalex.org/i1280259254,I1280259254
us-md-university-of-maryland-college-park,"UNIVERSITY OF MARYLAND, COLLEGE PARK",820102,COLLEGE PARK,MD,US,"University of Maryland, College Park",https://ror.org/047s2c258,047s2c258,grid.164295.d,umd.edu,https://openalex.org/i66946132,I66946132
us-me-jackson-laboratory,JACKSON LABORATORY,7096501,BAR HARBOR,ME,US,Jackson Laboratory,https://ror.org/021sy4w91,021sy4w91,grid.249880.f,jax.org,https://openalex.org/i4210115256,I4210115256
us-mi-university-of-michigan-at-ann-arbor,UNIVERSITY OF MICHIGAN AT ANN ARBOR,1506502,ANN ARBOR,MI,US,University of Michigan at Ann Arbor,https://ror.org/00jmfr291,00jmfr291,grid.214458.e,umich.edu,https://openalex.org/i27837315,I27837315
us-mi-wayne-state-university,WAYNE STATE UNIVERSITY,9110501,DETROIT,MI,US,Wayne State University,https://ror.org/01070mq45,01070mq45,grid.254444.7,wayne.edu,https://openalex.org/i185443292,I185443292
us-mi-michigan-state-university,MICHIGAN STATE UNIVERSITY,5245901,EAST LANSING,MI,US,Michigan State University,https://ror.org/05hs6h993,05hs6h993,grid.17088.36,msu.edu,https://openalex.org/i87216513,I87216513
us-mn-university-of-minnesota,UNIVERSITY OF MINNESOTA,1450402,MINNEAPOLIS,MN,US,University of Minnesota,https://ror.org/017zqws13,017zqws13,grid.17635.36,umn.edu,https://openalex.org/i130238516,I130238516
us-mn-mayo-clinic-rochester,MAYO CLINIC ROCHESTER,4976101,ROCHESTER,MN,US,Mayo Clinic Rochester,https://ror.org/02qp3tb03,02qp3tb03,grid.66875.3a,mayo.edu,https://openalex.org/i1330342723,I1330342723
us-mo-university-of-missouri-columbia,UNIVERSITY OF MISSOURI-COLUMBIA,578002,COLUMBIA,MO,US,University of Missouri-Columbia,https://ror.org/02ymw8z06,02ymw8z06,grid.134936.a,missouri.edu,https://openalex.org/i76835614,I76835614
us-mo-saint-louis-university,SAINT LOUIS UNIVERSITY,7915401,SAINT LOUIS,MO,US,Saint Louis University,https://ror.org/01p7jjy08,01p7jjy08,grid.262962.b,slu.edu,https://openalex.org/i47838141,I47838141
us-mo-washington-university,WASHINGTON UNIVERSITY,9083901,SAINT LOUIS,MO,US,Washington University,https://ror.org/01yc7t268,01yc7t268,grid.4367.6,wustl.edu,https://openalex.org/i204465549,I204465549
us-mt-montana-state-university-bozeman,MONTANA STATE UNIVERSITY - BOZEMAN,1381004,BOZEMAN,MT,US,Montana State University Bozeman,https://ror.org/02w0trx84,02w0trx84,grid.41891.35,montana.edu,https://openalex.org/i23732399,I23732399
us-mt-university-of-montana,UNIVERSITY OF MONTANA,1381006,MISSOULA,MT,US,University of Montana,https://ror.org/0078xmk34,0078xmk34,grid.253613.0,montana.edu|umt.edu,https://openalex.org/i6750721,I6750721
